SECCION,GANADOR,CODIGO_ESTADO,MUN_IFE,MUN_INEGI,TOTAL,HOMBRES,MUJERES,HIJOS,ENTIDAD_NAC,ENTIDAD_INM,ENTIDAD_MIG,LIMITACION,ANALFABETISMO,EDUCACION_AV,PEA,NO_SERV_SALUD,MATRIMONIOS,HOGARES,HOGARES_JEFA,HOGARES_POB,AUTO
585,CPRI,5,25,25,2194,50.50136737,49.49863263,2.64,78.85141294,96.15784008,1.869158879,5.46946217,3.82585752,21.87958884,41.56791249,24.70373747,53.56924954,541,24.39926063,393.3456562,56.00739372
586,CPAN,5,25,25,7870,50.11435832,49.88564168,2.45,78.85641677,96.73993214,1.342380882,4.498094028,2.876823339,24.20980302,37.5476493,23.76111817,56.89122934,1855,22.64150943,408.4097035,60.16172507
587,CPAN,5,25,25,8710,50.21814007,49.78185993,2.09,80.04592423,95.50031867,2.115997451,3.800229621,1.291482753,39.79441997,41.12514351,19.90815155,56.03357817,2239,20.41089772,384.8593122,70.16525234
588,CPAN,5,25,25,2384,50.67114094,49.32885906,2.5,74.4966443,95.42668553,2.451673739,4.907718121,2.941176471,38.73643906,41.48489933,30.03355705,55.42825968,642,21.02803738,368.0685358,66.35514019
589,CPRI,5,25,25,491,48.06517312,51.93482688,2.41,75.76374745,93.89140271,2.714932127,7.128309572,3.672316384,28.30769231,38.49287169,30.34623218,45.05208333,143,33.56643357,341.2587413,51.74825175
590,CPAN,5,25,25,507,51.47928994,48.52071006,2.53,78.50098619,94,1.111111111,11.83431953,3.601108033,28.31858407,38.65877712,33.72781065,48.83116883,144,27.08333333,341.6666667,51.38888889
591,CPAN,5,25,25,705,45.53191489,54.46808511,2.33,76.02836879,92.86821705,2.325581395,7.092198582,2.099236641,46.02851324,39.85815603,19.29078014,49.64788732,213,29.57746479,321.1267606,62.44131455
592,CPRI,5,25,25,488,50.81967213,49.18032787,2.46,84.22131148,97.97752809,0.898876404,6.557377049,2.459016393,35.60830861,40.77868852,23.97540984,44.1025641,142,30.98591549,339.4366197,49.29577465
593,CPAN,5,25,25,1061,49.38737041,50.61262959,1.88,67.76625825,91.71907757,4.192872117,4.618284637,1.581508516,68.29268293,43.73232799,31.29123468,51.31729668,292,22.26027397,335.2739726,84.24657534
594,CPAN,5,25,25,1474,48.10040706,51.89959294,1.91,64.92537313,90.30574198,7.382550336,2.510176391,0,85.36812675,41.65535957,25.23744912,55.83881579,440,23.18181818,319.7727273,93.40909091
595,CPAN,5,25,25,1936,50.15495868,49.84504132,1.88,71.02272727,91.39966273,7.251264755,3.409090909,0.067658999,75.21929825,41.83884298,19.11157025,54.28571429,562,23.84341637,339.6797153,89.50177936
596,CPRI,5,25,25,654,49.23547401,50.76452599,2.37,74.7706422,89.87993139,5.831903945,12.2324159,3.680981595,40.04424779,39.75535168,30.88685015,51.65692008,205,31.2195122,310.2439024,57.07317073
597,CPAN,5,25,25,729,46.77640604,53.22359396,1.99,71.74211248,91.18541033,5.167173252,7.956104252,1.769911504,55.95463138,40.60356653,26.47462277,45.80536913,235,32.34042553,294.0425532,61.27659574
598,CPAN,5,25,25,635,47.55905512,52.44094488,2.06,74.01574803,90.6779661,6.101694915,8.503937008,1.174168297,55.94989562,43.77952756,32.28346457,44.44444444,212,35.8490566,296.6981132,68.86792453
